"App";"Sexo";"Estado_civil";"renda";"satisfacao";"Gasto"
"1";"1";"2";"3125,96";"72,51";"55,10"
"1";"1";"3";"3203,43";"72,40";"47,42"
"1";"1";"2";"3186,24";"72,38";"48,65"
"1";"1";"1";"3317,42";"72,29";"47,38"
"1";"1";"3";"3131,79";"72,23";"47,25"
"1";"1";"3";"3095,57";"72,20";"46,58"
"1";"1";"1";"2821,78";"72,19";"55,63"
"1";"1";"3";"3503,28";"72,06";"49,67"
"1";"1";"2";"3384,95";"72,03";"45,10"
"1";"1";"2";"3188,12";"71,90";"50,75"
"1";"1";"2";"3086,79";"71,86";"47,62"
"1";"2";"1";"3217,86";"71,83";"47,61"
"1";"2";"2";"3096,19";"71,70";"52,59"
"1";"2";"3";"2944,82";"71,67";"44,21"
"1";"2";"2";"3050,46";"71,58";"50,11"
"1";"2";"1";"3331,98";"71,56";"49,63"
"1";"2";"3";"3319,15";"71,51";"46,07"
"1";"2";"2";"3173,59";"71,47";"43,50"
"1";"2";"2";"3976,86";"71,46";"52,41"
"1";"2";"1";"3227,08";"71,41";"54,62"
"1";"2";"3";"3617,64";"71,41";"46,21"
"1";"2";"3";"3022,56";"71,41";"45,68"
"1";"2";"3";"3330,16";"71,35";"51,26"
"1";"2";"1";"3128,39";"71,32";"50,19"
"1";"2";"2";"3075,02";"71,31";"58,76"
"1";"2";"1";"3096,84";"71,26";"43,77"
"1";"2";"2";"3085,42";"71,23";"49,73"
"1";"2";"3";"3382,15";"71,20";"50,45"
"1";"2";"3";"3535,43";"71,17";"47,40"
"1";"2";"1";"3093,46";"71,14";"49,36"
"1";"2";"3";"3461,01";"71,03";"58,14"
"2";"1";"2";"3537,66";"70,87";"44,61"
"2";"1";"3";"3776,09";"70,82";"43,85"
"2";"1";"2";"3373,10";"70,76";"46,71"
"2";"1";"1";"3767,78";"70,66";"50,51"
"2";"1";"3";"3164,75";"70,57";"50,61"
"2";"1";"2";"3361,04";"70,52";"47,57"
"2";"1";"3";"3291,10";"70,52";"31,49"
"2";"1";"1";"3664,87";"70,47";"26,95"
"2";"1";"2";"3429,51";"70,46";"51,20"
"2";"1";"2";"3094,22";"70,42";"39,98"
"2";"1";"1";"3198,28";"70,41";"42,33"
"2";"1";"3";"3347,17";"70,37";"26,05"
"2";"1";"2";"3667,24";"70,33";"69,72"
"2";"1";"2";"3272,13";"70,28";"38,37"
"2";"1";"2";"3124,06";"70,25";"45,28"
"2";"1";"1";"3433,70";"70,20";"86,09"
"2";"1";"2";"3809,46";"70,09";"35,35"
"2";"1";"1";"3271,22";"70,04";"36,81"
"2";"1";"2";"3715,28";"70,02";"50,50"
"2";"1";"1";"3054,87";"69,95";"33,49"
"2";"1";"2";"3434,54";"69,89";"36,62"
"2";"1";"2";"3519,97";"69,83";"37,24"
"2";"1";"2";"3468,97";"69,67";"57,71"
"2";"1";"1";"3348,47";"69,64";"65,32"
"2";"1";"2";"3357,64";"69,61";"56,70"
"2";"1";"1";"3260,92";"69,57";"59,58"
"2";"1";"3";"3284,88";"69,54";"30,29"
"2";"1";"3";"3408,30";"69,49";"37,52"
"2";"1";"2";"3639,09";"69,42";"75,82"
"2";"1";"2";"3216,44";"69,41";"42,58"
"2";"1";"1";"3481,07";"69,38";"86,51"
"2";"1";"3";"3616,01";"69,35";"56,52"
"2";"1";"1";"3410,37";"69,26";"53,35"
"2";"1";"3";"3852,38";"69,24";"42,62"
"2";"1";"3";"3187,10";"69,18";"52,78"
"2";"1";"2";"3579,64";"69,12";"34,17"
"2";"1";"1";"3209,71";"69,03";"47,78"
"2";"1";"3";"3438,47";"69,03";"60,43"
"2";"1";"1";"3635,24";"69,01";"67,54"
"2";"1";"3";"3401,05";"68,98";"43,05"
"2";"1";"3";"3532,80";"68,93";"54,05"
"2";"1";"3";"3526,67";"68,91";"45,24"
"2";"1";"2";"3522,02";"68,84";"62,81"
"2";"1";"2";"3461,61";"68,72";"48,58"
"2";"1";"3";"3217,24";"68,70";"46,03"
"2";"1";"1";"3635,57";"68,69";"67,88"
"2";"1";"2";"3806,88";"68,67";"53,71"
"2";"1";"3";"3276,48";"68,64";"34,24"
"2";"1";"3";"3354,63";"68,58";"70,26"
"2";"1";"3";"3679,97";"68,53";"80,51"
"2";"2";"2";"3560,97";"68,46";"47,80"
"2";"2";"2";"3912,65";"68,44";"36,25"
"2";"2";"3";"3549,73";"68,40";"39,56"
"2";"2";"2";"3853,44";"68,38";"21,12"
"2";"2";"2";"3565,50";"68,37";"56,90"
"2";"2";"1";"3574,13";"68,36";"59,87"
"2";"2";"3";"3775,20";"68,32";"58,32"
"2";"2";"1";"3357,47";"68,26";"57,07"
"2";"2";"1";"3836,29";"68,23";"57,37"
"2";"2";"1";"3653,56";"68,17";"69,61"
"2";"2";"1";"3558,27";"68,10";"25,64"
"2";"2";"1";"3545,23";"68,07";"38,30"
"2";"2";"2";"3581,70";"68,05";"48,83"
"2";"2";"2";"3666,50";"68,04";"25,61"
"2";"2";"2";"3484,49";"68,01";"47,46"
"2";"2";"3";"3372,84";"67,96";"56,50"
"2";"2";"3";"3697,44";"67,86";"68,79"
"2";"2";"1";"3923,03";"67,85";"53,30"
"2";"2";"2";"3197,86";"67,62";"18,82"
"2";"2";"3";"3867,59";"67,62";"61,66"
"2";"2";"3";"3723,29";"67,60";"43,00"
"2";"2";"3";"3513,29";"67,58";"51,69"
"2";"2";"1";"3800,17";"67,56";"58,75"
"2";"2";"2";"3872,39";"67,46";"43,31"
"2";"2";"3";"3472,25";"67,42";"42,79"
"2";"2";"1";"3681,51";"67,34";"44,53"
"2";"2";"2";"3670,91";"67,25";"42,14"
"2";"2";"1";"3507,19";"67,19";"75,58"
"2";"2";"3";"4066,72";"67,05";"40,19"
"2";"2";"3";"3926,27";"67,00";"34,83"
"2";"2";"3";"3721,82";"66,99";"46,82"
"2";"2";"2";"3479,12";"66,98";"55,48"
"2";"2";"1";"3696,30";"66,82";"47,66"
"2";"2";"1";"3796,38";"66,71";"52,53"
"2";"2";"2";"4032,80";"66,70";"62,82"
"2";"2";"1";"4066,67";"66,52";"30,50"
"2";"2";"3";"3991,16";"66,52";"38,86"
"2";"2";"1";"4041,96";"66,45";"45,19"
"2";"2";"3";"3422,35";"66,29";"59,78"
"2";"2";"2";"3739,10";"66,26";"49,20"
"2";"2";"1";"4071,87";"66,23";"53,12"
"2";"2";"1";"3723,70";"66,16";"64,13"
"2";"2";"1";"4132,87";"66,16";"41,90"
"2";"2";"2";"3975,70";"66,09";"27,40"
"2";"2";"1";"3922,65";"66,02";"48,79"
"2";"2";"2";"3753,22";"65,98";"53,59"
"2";"2";"3";"3754,92";"65,88";"58,86"
"2";"2";"2";"3970,59";"65,83";"61,16"
"2";"2";"1";"4102,16";"65,67";"57,33"
"2";"2";"2";"3854,42";"65,58";"54,83"
"3";"1";"2";"3722,09";"65,48";"79,06"
"3";"1";"2";"3532,05";"65,47";"85,05"
"3";"1";"1";"3833,49";"65,15";"74,54"
"3";"1";"2";"3975,69";"65,08";"79,98"
"3";"1";"3";"3740,47";"64,91";"81,86"
"3";"1";"3";"4461,81";"64,82";"73,38"
"3";"1";"3";"3762,03";"64,73";"75,88"
"3";"1";"1";"3678,45";"64,67";"65,75"
"3";"1";"3";"3930,64";"64,65";"74,48"
"3";"1";"2";"3824,35";"64,65";"72,06"
"3";"2";"2";"4236,70";"64,62";"82,97"
"3";"2";"2";"3843,04";"64,51";"62,47"
"3";"2";"3";"4194,94";"64,49";"75,42"
"3";"2";"1";"4373,51";"64,44";"68,66"
"3";"2";"2";"4073,30";"64,41";"80,77"
"3";"2";"2";"3797,63";"64,28";"82,07"
"3";"2";"2";"4079,26";"64,20";"82,11"
"3";"2";"3";"4127,94";"64,10";"74,58"
"3";"2";"2";"3852,45";"63,99";"72,22"
"3";"2";"1";"4298,52";"63,96";"76,57"
"3";"2";"3";"3910,67";"63,71";"67,09"
"3";"2";"3";"4142,69";"63,70";"77,51"
"3";"2";"2";"4242,27";"63,20";"74,12"
"3";"2";"2";"4473,85";"63,14";"74,04"
"3";"2";"3";"4045,35";"63,01";"75,89"
"3";"2";"1";"3901,80";"62,99";"79,34"
"3";"2";"3";"4155,15";"62,89";"73,31"
"3";"2";"2";"4177,26";"62,72";"69,53"
"3";"2";"2";"4326,33";"62,70";"76,31"
"3";"2";"3";"4195,55";"62,69";"78,02"
"3";"2";"2";"4583,51";"62,55";"73,54"
"3";"2";"2";"4250,14";"62,53";"74,58"
"3";"2";"3";"4345,06";"62,27";"72,76"
"3";"2";"2";"4158,97";"62,05";"78,03"
"3";"2";"3";"4293,45";"61,92";"78,07"
"3";"2";"1";"4156,34";"61,88";"79,70"
"3";"2";"1";"4296,15";"61,85";"79,97"
"3";"2";"1";"4596,17";"61,60";"77,71"
"3";"2";"2";"4524,13";"61,49";"86,61"
"3";"2";"3";"4577,40";"61,38";"71,48"
"3";"2";"1";"4020,33";"61,14";"81,60"
"3";"2";"2";"4465,97";"61,02";"78,96"
"3";"2";"1";"4840,65";"60,60";"69,61"
"3";"2";"2";"5036,23";"60,29";"74,86"
"3";"2";"2";"4596,40";"59,97";"81,93"
"3";"2";"1";"4598,41";"59,90";"78,09"
"3";"2";"1";"4753,38";"59,84";"74,25"
"3";"2";"2";"5133,44";"59,39";"71,53"
"3";"2";"2";"5129,52";"58,60";"74,58"
"3";"2";"2";"4972,53";"56,60";"71,23"
